Star_number,magnitude,color_bv
10012.0,19.6,0.76
10170.0,20.6,0.98
10200.0,21.0,1.05
10206.0,21.0,0.96
10278.0,21.6,1.23
10335.0,22.0,1.31
10359.0,22.2,1.23
10489.0,22.6,1.33
10610.0,23.0,1.45
20028.0,17.6,0.53
20034.0,17.7,0.58
20049.0,18.0,0.57
20070.0,18.4,0.6
20104.0,18.8,0.65
20130.0,19.1,0.69
20185.0,19.8,0.83
20210.0,20.1,0.88
20239.0,20.4,0.93
20335.0,21.4,1.1
20364.0,21.6,1.2
30014.0,13.5,1.1
30103.0,15.5,0.82
40002.0,12.0,1.45
40022.0,12.6,1.25
40043.0,12.9,1.14
40130.0,14.0,0.99
40135.0,14.0,0.69
40144.0,14.0,0.79
40164.0,14.0,0.59
40351.0,14.9,0.85
40628.0,16.2,0.73
40821.0,16.6,0.73
41051.0,16.9,0.7
41107.0,17.0,0.58
41456.0,17.2,0.51
