Star_number,magnitude,color_bv
133.0,14.4,1.28
345.0,11.6,0.84
522.0,11.9,0.9
697.0,8.6,0.35
804.0,7.9,0.2
950.0,4.2,-0.1
1040.0,15.8,1.44
1103.0,14.8,1.47
1234.0,6.8,0.02
1266.0,8.3,0.36
1305.0,13.5,1.18
1309.0,9.5,0.47
1355.0,14.0,1.23
1432.0,2.9,-0.09
1454.0,12.8,1.16
1516.0,14.0,1.31
1766.0,9.1,0.47
1797.0,10.1,0.56
1924.0,10.3,0.62
2168.0,3.6,-0.08
2181.0,5.1,-0.08
2209.0,14.4,1.47
2406.0,11.1,0.76
2425.0,6.2,-0.05
2588.0,13.1,1.22
2601.0,15.0,1.55
2655.0,15.5,1.36
2870.0,12.5,1.07
2881.0,11.8,0.86
